"HGNC.ID"	"Approved.symbol"	"Approved.name"	"Previous.symbols"	"Alias.symbols"	"NCBI.Gene.ID"	"Ensembl.gene.ID"
"HGNC:28900"	"PNPLA8"	"patatin like phospholipase domain containing 8"	""	"IPLA2G, IPLA2-2, iPLA2gamma"	50640	"ENSG00000135241"
"HGNC:32928"	"PNPLA10P"	"patatin like phospholipase domain containing 10 pseudogene"	""	""	643773	"ENSG00000230538"
"HGNC:30260"	"PNPO"	"pyridoxamine 5'-phosphate oxidase"	""	"PDXPO"	55163	"ENSG00000108439"
"HGNC:54649"	"PNPP1"	"PNP pseudogene 1"	""	""	647275	"ENSG00000228209"
"HGNC:23166"	"PNPT1"	"polyribonucleotide nucleotidyltransferase 1"	"DFNB70"	"PNPase, OLD35, old-35"	87178	"ENSG00000138035"
"HGNC:44468"	"PNPT1P1"	"polyribonucleotide nucleotidyltransferase 1 pseudogene 1"	""	""	100288506	"ENSG00000229241"
"HGNC:44469"	"PNPT1P2"	"polyribonucleotide nucleotidyltransferase 1 pseudogene 2"	""	""	100533721	"ENSG00000233272"
"HGNC:17278"	"PNRC1"	"proline rich nuclear receptor coactivator 1"	"PROL2"	"B4-2, PRR2"	10957	"ENSG00000146278"
"HGNC:23158"	"PNRC2"	"proline rich nuclear receptor coactivator 2"	""	""	55629	"ENSG00000189266"
"HGNC:51933"	"PNRC2P1"	"proline rich nuclear receptor coactivator 2 pseudogene 1"	""	""	100131261	"ENSG00000228217"
"HGNC:24488"	"POC1A"	"POC1 centriolar protein A"	"WDR51A"	"DKFZP434C245"	25886	"ENSG00000164087"
"HGNC:30836"	"POC1B"	"POC1 centriolar protein B"	"WDR51B"	"TUWD12, FLJ14923"	282809	"ENSG00000139323"
"HGNC:42957"	"POC1B-GALNT4"	"POC1B-GALNT4 readthrough"	""	""	100528030	"ENSG00000259075"
"HGNC:26658"	"POC5"	"POC5 centriolar protein"	"C5orf37"	"FLJ35779, MGC120442, MGC120443, MGC120444, hPOC5"	134359	"ENSG00000152359"
"HGNC:23174"	"PODN"	"podocan"	""	"PCAN, PODOCAN, MGC24995, SLRR5A"	127435	"ENSG00000174348"
"HGNC:26275"	"PODNL1"	"podocan like 1"	""	"FLJ23447, SLRR5B"	79883	"ENSG00000132000"
"HGNC:9171"	"PODXL"	"podocalyxin like"	""	"PCLP, Gp200, PC, PODXL1, PDX, gp135"	5420	"ENSG00000128567"
"HGNC:17936"	"PODXL2"	"podocalyxin like 2"	""	"PODLX2, endoglycan"	50512	"ENSG00000114631"
"HGNC:13711"	"POF1B"	"POF1B actin binding protein"	""	"POF, FLJ22792"	79983	"ENSG00000124429"
"HGNC:14988"	"POFUT1"	"protein O-fucosyltransferase 1"	""	"O-FUT, O-Fuc-T, KIAA0180, FUT12"	23509	"ENSG00000101346"
"HGNC:14683"	"POFUT2"	"protein O-fucosyltransferase 2"	"C21orf80"	"KIAA0958, FUT13"	23275	"ENSG00000186866"
"HGNC:18800"	"POGK"	"pogo transposable element derived with KRAB domain"	""	"KIAA15131, LST003, BASS2, KRBOX2"	57645	"ENSG00000143157"
"HGNC:22954"	"POGLUT1"	"protein O-glucosyltransferase 1"	"C3orf9, KTELC1"	"MDS010, MGC32995, 9630046K23Rik, MDSRP, hCLP46, KDELCL1, Rumi"	56983	"ENSG00000163389"
"HGNC:19350"	"POGLUT2"	"protein O-glucosyltransferase 2"	"KDELC1"	"MGC5302, EP58"	79070	"ENSG00000134901"
"HGNC:28496"	"POGLUT3"	"protein O-glucosyltransferase 3"	"KDELC2"	"MGC33424"	143888	"ENSG00000178202"
"HGNC:18801"	"POGZ"	"pogo transposable element derived with ZNF domain"	""	"KIAA0461, ZNF635, ZNF280E"	23126	"ENSG00000143442"
"HGNC:9173"	"POLA1"	"DNA polymerase alpha 1, catalytic subunit"	"POLA, NSX"	"p180"	5422	"ENSG00000101868"
"HGNC:30073"	"POLA2"	"DNA polymerase alpha 2, accessory subunit"	""	"FLJ21662"	23649	"ENSG00000014138"
"HGNC:9174"	"POLB"	"DNA polymerase beta"	""	""	5423	"ENSG00000070501"
"HGNC:9175"	"POLD1"	"DNA polymerase delta 1, catalytic subunit"	"POLD"	"CDC2"	5424	"ENSG00000062822"
"HGNC:9176"	"POLD2"	"DNA polymerase delta 2, accessory subunit"	""	""	5425	"ENSG00000106628"
"HGNC:41522"	"POLD2P1"	"DNA polymerase delta 2, accessory subunit pseudogene 1"	""	""	391811	"ENSG00000213730"
"HGNC:20932"	"POLD3"	"DNA polymerase delta 3, accessory subunit"	""	"P66, KIAA0039, P68, PPP1R128"	10714	"ENSG00000077514"
"HGNC:14106"	"POLD4"	"DNA polymerase delta 4, accessory subunit"	""	"p12, POLDS"	57804	"ENSG00000175482"
"HGNC:23781"	"POLDIP2"	"DNA polymerase delta interacting protein 2"	""	"PDIP38, DKFZP586F1524"	26073	"ENSG00000004142"
"HGNC:23782"	"POLDIP3"	"DNA polymerase delta interacting protein 3"	""	"PDIP46, KIAA1649, SKAR, PDIP3"	84271	"ENSG00000100227"
"HGNC:9177"	"POLE"	"DNA polymerase epsilon, catalytic subunit"	""	"POLE1"	5426	"ENSG00000177084"
"HGNC:9178"	"POLE2"	"DNA polymerase epsilon 2, accessory subunit"	""	"DPE2"	5427	"ENSG00000100479"
"HGNC:13546"	"POLE3"	"DNA polymerase epsilon 3, accessory subunit"	""	"CHRAC17, Ybl1, p17, CHARAC17, CHRAC2"	54107	"ENSG00000148229"
"HGNC:18755"	"POLE4"	"DNA polymerase epsilon 4, accessory subunit"	""	"p12"	56655	"ENSG00000115350"
"HGNC:9179"	"POLG"	"DNA polymerase gamma, catalytic subunit"	""	"POLG1, POLGA"	5428	"ENSG00000140521"
"HGNC:9180"	"POLG2"	"DNA polymerase gamma 2, accessory subunit"	""	"MTPOLB, HP55"	11232	"ENSG00000256525"
"HGNC:9181"	"POLH"	"DNA polymerase eta"	""	"RAD30A, XP-V"	5429	"ENSG00000170734"
"HGNC:9182"	"POLI"	"DNA polymerase iota"	"RAD3OB, RAD30B"	""	11201	"ENSG00000101751"
"HGNC:9183"	"POLK"	"DNA polymerase kappa"	"DINB1"	"POLQ, DINP"	51426	"ENSG00000122008"
"HGNC:9184"	"POLL"	"DNA polymerase lambda"	""	""	27343	"ENSG00000166169"
"HGNC:9185"	"POLM"	"DNA polymerase mu"	""	"Tdt-N"	27434	"ENSG00000122678"
"HGNC:18870"	"POLN"	"DNA polymerase nu"	""	""	353497	"ENSG00000130997"
"HGNC:9186"	"POLQ"	"DNA polymerase theta"	""	"POLH"	10721	"ENSG00000051341"
"HGNC:17264"	"POLR1A"	"RNA polymerase I subunit A"	""	"DKFZP586M0122, FLJ21915, RPO1-4, RPA1, RPA190"	25885	"ENSG00000068654"
"HGNC:20454"	"POLR1B"	"RNA polymerase I subunit B"	""	"Rpo1-2, FLJ21921, FLJ10816, RPA2, RPA135"	84172	"ENSG00000125630"
"HGNC:20194"	"POLR1C"	"RNA polymerase I and III subunit C"	""	"RPA40, RPA39, RPA5, RPAC1, AC40, RPC40"	9533	"ENSG00000171453"
"HGNC:20422"	"POLR1D"	"RNA polymerase I and III subunit D"	""	"RPAC2, RPA16, RPO1-3, RPA9, MGC9850, AC19"	51082	"ENSG00000186184"
"HGNC:17631"	"POLR1E"	"RNA polymerase I subunit E"	"PRAF1"	"FLJ13390, PAF53, FLJ13970, RPA49"	64425	"ENSG00000137054"
"HGNC:18027"	"POLR1F"	"RNA polymerase I subunit F"	"TWISTNB"	"RPA43, A43"	221830	"ENSG00000105849"
"HGNC:24219"	"POLR1G"	"RNA polymerase I subunit G"	"CD3EAP"	"ASE-1, CAST, PAF49, RPA34, A34.5"	10849	"ENSG00000117877"
"HGNC:13182"	"POLR1H"	"RNA polymerase I subunit H"	"ZNRD1"	"hZR14, HTEX-6, tctex-6, RPA12, A12.2"	30834	"ENSG00000066379"
"HGNC:9187"	"POLR2A"	"RNA polymerase II subunit A"	"POLR2"	"POLRA, RPB1"	5430	"ENSG00000181222"
"HGNC:9188"	"POLR2B"	"RNA polymerase II subunit B"	""	"RPB2"	5431	"ENSG00000047315"
"HGNC:9189"	"POLR2C"	"RNA polymerase II subunit C"	""	"RPB3"	5432	"ENSG00000102978"
"HGNC:9190"	"POLR2CP1"	"RNA polymerase II subunit C pseudogene 1"	"POLR2CP"	""	54038	"ENSG00000228600"
"HGNC:9191"	"POLR2D"	"RNA polymerase II subunit D"	""	"RPB4"	5433	"ENSG00000144231"
"HGNC:54764"	"POLR2DP1"	"POLR2D pseudogene 1"	""	""	442042	"ENSG00000232090"
"HGNC:9192"	"POLR2E"	"RNA polymerase II, I and III subunit E"	""	"RPB5, RPABC1, XAP4, hRPB25, hsRPB5"	5434	"ENSG00000099817"
"HGNC:9193"	"POLR2F"	"RNA polymerase II, I and III subunit F"	""	"RPB6, HRBP14.4"	5435	"ENSG00000100142"
"HGNC:9194"	"POLR2G"	"RNA polymerase II subunit G"	""	"hRPB19, hsRPB7, RPB7"	5436	"ENSG00000168002"
"HGNC:9195"	"POLR2H"	"RNA polymerase II, I and III subunit H"	""	"RPB8"	5437	"ENSG00000163882"
"HGNC:9196"	"POLR2I"	"RNA polymerase II subunit I"	""	"RPB9, hRPB14.5"	5438	"ENSG00000105258"
"HGNC:9197"	"POLR2J"	"RNA polymerase II subunit J"	""	"RPB11, hRPB14, RPB11A, RPB11m, POLR2J1"	5439	"ENSG00000005075"
"HGNC:23208"	"POLR2J2"	"RNA polymerase II subunit J2"	""	"RPB11b1"	246721	"ENSG00000228049"
"HGNC:33853"	"POLR2J3"	"RNA polymerase II subunit J3"	""	""	548644	"ENSG00000168255"
"HGNC:28195"	"POLR2J4"	"RNA polymerase II subunit J4, pseudogene"	""	"MGC13098"	84820	"ENSG00000272655"
"HGNC:9198"	"POLR2K"	"RNA polymerase II, I and III subunit K"	""	"RPB10alpha, RPB12"	5440	"ENSG00000147669"
"HGNC:9199"	"POLR2L"	"RNA polymerase II, I and III subunit L"	""	"RPB10beta, RBP10, RPABC5, RPB7.6, hRPB7.6, hsRPB10b"	5441	"ENSG00000177700"
"HGNC:31340"	"POLR2LP1"	"RNA polymerase II subunit L pseudogene 1"	"POLR2LP"	"AB023060.6"	493825	"ENSG00000238211"
"HGNC:14862"	"POLR2M"	"RNA polymerase II subunit M"	"GRINL1A"	"Gdown, Gdown1, GCOM1"	81488	"ENSG00000255529"
"HGNC:30074"	"POLR3A"	"RNA polymerase III subunit A"	""	"RPC1, RPC155, hRPC155, C160"	11128	"ENSG00000148606"
"HGNC:30348"	"POLR3B"	"RNA polymerase III subunit B"	""	"RPC2, FLJ10388, C128"	55703	"ENSG00000013503"
"HGNC:30076"	"POLR3C"	"RNA polymerase III subunit C"	""	"RPC62, RPC3, C82"	10623	"ENSG00000186141"
"HGNC:1080"	"POLR3D"	"RNA polymerase III subunit D"	"BN51T"	"TSBN51, RPC4, C53"	661	"ENSG00000168495"
"HGNC:45107"	"POLR3DP1"	"RNA polymerase III subunit D pseudogene 1"	""	""	100422384	"ENSG00000214626"
"HGNC:30347"	"POLR3E"	"RNA polymerase III subunit E"	""	"RPC5, SIN, FLJ10509, C37"	55718	"ENSG00000058600"
"HGNC:15763"	"POLR3F"	"RNA polymerase III subunit F"	""	"RPC39, RPC6, C34"	10621	"ENSG00000132664"
"HGNC:30075"	"POLR3G"	"RNA polymerase III subunit G"	""	"RPC32, RPC7, C31"	10622	"ENSG00000113356"
"HGNC:28466"	"POLR3GL"	"RNA polymerase III subunit GL"	""	"flj32422, MGC3200"	84265	"ENSG00000121851"
"HGNC:23345"	"POLR3GP1"	"RNA polymerase III subunit G pseudogene 1"	""	""	100422395	"ENSG00000268295"
"HGNC:50691"	"POLR3GP2"	"RNA polymerase III subunit G pseudogene 2"	""	""	100422391	"ENSG00000266984"
"HGNC:30349"	"POLR3H"	"RNA polymerase III subunit H"	""	"RPC8, KIAA1665, C25"	171568	"ENSG00000100413"
"HGNC:14121"	"POLR3K"	"RNA polymerase III subunit K"	""	"RPC11, C11"	51728	"ENSG00000161980"
"HGNC:39577"	"POLR3KP1"	"RNA polymerase III subunit K pseudogene 1"	""	""	100289667	"ENSG00000232647"
"HGNC:39578"	"POLR3KP2"	"RNA polymerase III subunit K pseudogene 2"	""	""	390811	"ENSG00000265469"
"HGNC:9200"	"POLRMT"	"RNA polymerase mitochondrial"	""	"h-mtRPOL, APOLMT, MTRNAP, MTRPOL"	5442	"ENSG00000099821"
"HGNC:28865"	"POLRMTP1"	"RNA polymerase mitochondrial pseudogene 1"	"POLRMTL"	""	284167	"ENSG00000266066"
"HGNC:19702"	"POM121"	"POM121 transmembrane nucleoporin"	""	"KIAA0618, DKFZP586G1822, DKFZP586P2220, POM121A"	9883	"ENSG00000196313"
"HGNC:34004"	"POM121B"	"POM121 transmembrane nucleoporin B (pseudogene)"	""	""	100288540	"ENSG00000205578"
"HGNC:34005"	"POM121C"	"POM121 transmembrane nucleoporin C"	""	""	100101267	"ENSG00000272391"
"HGNC:16439"	"POM121L1P"	"POM121 transmembrane nucleoporin like 1, pseudogene"	"POM121L1"	""	25812	"ENSG00000183169"
"HGNC:13973"	"POM121L2"	"POM121 transmembrane nucleoporin like 2"	""	"POM121-L"	94026	"ENSG00000158553"
"HGNC:16440"	"POM121L3P"	"POM121 transmembrane nucleoporin like 3, pseudogene"	"POM121L3"	"dJ831C21.3"	651452	"ENSG00000167390"
"HGNC:31343"	"POM121L6P"	"POM121 transmembrane nucleoporin like 6, pseudogene"	""	"bA239L20.2"	729392	"ENSG00000243307"
"HGNC:35444"	"POM121L7P"	"POM121 transmembrane nucleoporin like 7 pseudogene"	"POM121L7"	""	728418	"ENSG00000239511"
"HGNC:35446"	"POM121L8P"	"POM121 transmembrane nucleoporin like 8, pseudogene"	""	""	29797	"ENSG00000229266"
"HGNC:30080"	"POM121L9P"	"POM121 transmembrane nucleoporin like 9, pseudogene"	""	""	29774	"ENSG00000128262"
"HGNC:35448"	"POM121L10P"	"POM121 transmembrane nucleoporin like 10, pseudogene"	""	""	646074	"ENSG00000224124"
"HGNC:25369"	"POM121L12"	"POM121 transmembrane nucleoporin like 12"	""	"DKFZp564N2472"	285877	"ENSG00000221900"
"HGNC:44414"	"POM121L14P"	"POM121 transmembrane nucleoporin like 14, pseudogene"	""	""	727805	"ENSG00000218189"
"HGNC:9201"	"POMC"	"proopiomelanocortin"	""	"MSH, POC, CLIP, ACTH, NPP, LPH"	5443	"ENSG00000115138"
"HGNC:19139"	"POMGNT1"	"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)"	"MEB"	"FLJ20277, MGAT1.2, LGMD2O"	55624	"ENSG00000085998"
"HGNC:25902"	"POMGNT2"	"protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)"	"C3orf39, GTDC2"	"FLJ14566, AGO61"	84892	"ENSG00000144647"
"HGNC:26267"	"POMK"	"protein O-mannose kinase"	""	"FLJ23356, SgK196"	84197	"ENSG00000185900"
"HGNC:20330"	"POMP"	"proteasome maturation protein"	"C13orf12"	"HSPC014, UMP1"	51371	"ENSG00000132963"
"HGNC:55007"	"POMPP1"	"POMP pseudogene 1"	""	""	101060113	"ENSG00000236870"
"HGNC:9202"	"POMT1"	"protein O-mannosyltransferase 1"	""	"LGMD2K"	10585	"ENSG00000130714"
"HGNC:19743"	"POMT2"	"protein O-mannosyltransferase 2"	""	"LGMD2N"	29954	"ENSG00000009830"
"HGNC:9203"	"POMZP3"	"POM121 and ZP3 fusion"	""	"POM-ZP3, POM121"	22932	"ENSG00000146707"
"HGNC:9204"	"PON1"	"paraoxonase 1"	"PON"	"ESA"	5444	"ENSG00000005421"
"HGNC:9205"	"PON2"	"paraoxonase 2"	""	""	5445	"ENSG00000105854"
"HGNC:9206"	"PON3"	"paraoxonase 3"	""	""	5446	"ENSG00000105852"
"HGNC:30129"	"POP1"	"POP1 homolog, ribonuclease P/MRP subunit"	""	""	10940	"ENSG00000104356"
"HGNC:30081"	"POP4"	"POP4 homolog, ribonuclease P/MRP subunit"	""	"RPP29"	10775	"ENSG00000105171"
"HGNC:17689"	"POP5"	"POP5 homolog, ribonuclease P/MRP subunit"	""	""	51367	"ENSG00000167272"
"HGNC:19949"	"POP7"	"POP7 homolog, ribonuclease P/MRP subunit"	""	"RPP20, RPP2"	10248	"ENSG00000172336"
"HGNC:17648"	"POPDC2"	"popeye domain containing 2"	""	"POP2"	64091	"ENSG00000121577"
"HGNC:17649"	"POPDC3"	"popeye domain containing 3"	""	"POP3, MGC22671, bA355M14.1"	64208	"ENSG00000132429"
"HGNC:9208"	"POR"	"cytochrome p450 oxidoreductase"	""	"CYPOR, FLJ26468"	5447	"ENSG00000127948"
"HGNC:17652"	"PORCN"	"porcupine O-acyltransferase"	"DHOF"	"MG61, PORC, PPN, por"	64840	"ENSG00000102312"
"HGNC:16953"	"POSTN"	"periostin"	""	"OSF-2, PN, periostin"	10631	"ENSG00000133110"
"HGNC:17284"	"POT1"	"protection of telomeres 1"	""	"hPot1, DKFZp586D211"	25913	"ENSG00000128513"
"HGNC:33893"	"POTEA"	"POTE ankyrin domain family member A"	"A26A1"	"POTE8, POTE-8, CT104.3"	340441	"ENSG00000188877"
"HGNC:33734"	"POTEB"	"POTE ankyrin domain family member B"	"A26B1"	"POTE15, POTE-15, CT104.5"	100996331	"ENSG00000233917"
"HGNC:48327"	"POTEB2"	"POTE ankyrin domain family member B2"	""	""	100287399	"ENSG00000230031"
"HGNC:51240"	"POTEB3"	"POTE ankyrin domain family member B3"	""	""	102724631	"ENSG00000278522"
"HGNC:33894"	"POTEC"	"POTE ankyrin domain family member C"	"A26B2"	"POTE18, POTE-18, DKFZp686J0529, CT104.6"	388468	"ENSG00000183206"
"HGNC:23822"	"POTED"	"POTE ankyrin domain family member D"	"ANKRD21, A26B3"	"POTE, POTE-21, POTE21, CT104.1"	317754	"ENSG00000166351"
"HGNC:33895"	"POTEE"	"POTE ankyrin domain family member E"	"A26C1A"	"POTE2, POTE-2, A26C1, POTE2gamma, CT104.2"	445582	"ENSG00000188219"
"HGNC:33905"	"POTEF"	"POTE ankyrin domain family member F"	"A26C1B"	"POTEACTIN, POTE2alpha"	728378	"ENSG00000196604"
"HGNC:41294"	"POTEF-AS1"	"POTEF antisense RNA 1"	""	""	105373617	"ENSG00000224087"
"HGNC:33896"	"POTEG"	"POTE ankyrin domain family member G"	"A26C2"	"POTE14, POTE-14, POTE14alpha, CT104.4"	404785	"ENSG00000187537"
"HGNC:133"	"POTEH"	"POTE ankyrin domain family member H"	"ACTBL1, A26C3"	"POTE22, CT104.7"	23784	"ENSG00000198062"
"HGNC:37093"	"POTEI"	"POTE ankyrin domain family member I"	""	"POTE2beta"	653269	"ENSG00000196834"
"HGNC:37094"	"POTEJ"	"POTE ankyrin domain family member J"	""	"POTE2beta"	653781	"ENSG00000222038"
"HGNC:30182"	"POTEKP"	"POTE ankyrin domain family member K, pseudogene"	"ACTBL3, POTEK"	"FKSG30, POTE2delta"	440915	"ENSG00000204434"
"HGNC:37096"	"POTEM"	"POTE ankyrin domain family member M"	""	"POTE14beta, P704P, ACT"	641455	"ENSG00000222036"
"HGNC:9210"	"POU1F1"	"POU class 1 homeobox 1"	"PIT1"	"GHF-1, POU1F1a, PIT-1"	5449	"ENSG00000064835"
"HGNC:9211"	"POU2AF1"	"POU class 2 homeobox associating factor 1"	""	"OBF1, BOB1"	5450	"ENSG00000110777"
"HGNC:9212"	"POU2F1"	"POU class 2 homeobox 1"	"OTF1"	"OCT1"	5451	"ENSG00000143190"
"HGNC:9213"	"POU2F2"	"POU class 2 homeobox 2"	"OTF2"	"OCT2"	5452	"ENSG00000028277"
"HGNC:19864"	"POU2F3"	"POU class 2 homeobox 3"	""	"OCT11, PLA-1, Skn-1a, Epoc-1"	25833	"ENSG00000137709"
"HGNC:9214"	"POU3F1"	"POU class 3 homeobox 1"	"OTF6"	"OCT6, SCIP"	5453	"ENSG00000185668"
"HGNC:9215"	"POU3F2"	"POU class 3 homeobox 2"	"OTF7"	"POUF3, BRN2, OCT7"	5454	"ENSG00000184486"
"HGNC:9216"	"POU3F3"	"POU class 3 homeobox 3"	""	"BRN1, OTF8"	5455	"ENSG00000198914"
"HGNC:9217"	"POU3F4"	"POU class 3 homeobox 4"	"DFN3"	"BRN4, OTF9, DFNX2"	5456	"ENSG00000196767"
"HGNC:9218"	"POU4F1"	"POU class 4 homeobox 1"	"BRN3A"	"RDC-1"	5457	"ENSG00000152192"
"HGNC:9219"	"POU4F2"	"POU class 4 homeobox 2"	"BRN3B"	"Brn-3b"	5458	"ENSG00000151615"
"HGNC:9220"	"POU4F3"	"POU class 4 homeobox 3"	"DFNA15, DFNA52, DFNA42"	"BRN3C"	5459	"ENSG00000091010"
"HGNC:9221"	"POU5F1"	"POU class 5 homeobox 1"	"OTF3"	"OCT3, Oct4, MGC22487"	5460	"ENSG00000204531"
"HGNC:9223"	"POU5F1B"	"POU class 5 homeobox 1B"	"OTF3P1, POU5F1P1"	"OTF3C"	5462	"ENSG00000212993"
"HGNC:33309"	"POU5F1P2"	"POU class 5 homeobox 1 pseudogene 2"	""	""	100129512	"ENSG00000253382"
"HGNC:9222"	"POU5F1P3"	"POU class 5 homeobox 1 pseudogene 3"	"OTF3L, POU5F1L"	"POU5FLC12"	642559	"ENSG00000235602"
"HGNC:33310"	"POU5F1P4"	"POU class 5 homeobox 1 pseudogene 4"	""	"POU5FLC1, Oct4-pg4"	645682	"ENSG00000237872"
"HGNC:33311"	"POU5F1P5"	"POU class 5 homeobox 1 pseudogene 5"	""	"Oct4-pg5"	100009667	"ENSG00000236375"
"HGNC:33312"	"POU5F1P6"	"POU class 5 homeobox 1 pseudogene 6"	""	""	100009668	"ENSG00000242551"
"HGNC:33313"	"POU5F1P7"	"POU class 5 homeobox 1 pseudogene 7"	""	""	100009669	"ENSG00000248365"
"HGNC:26367"	"POU5F2"	"POU domain class 5, transcription factor 2"	""	"SPRM-1, FLJ25680"	134187	"ENSG00000248483"
"HGNC:9224"	"POU6F1"	"POU class 6 homeobox 1"	""	"BRN5, MPOU, TCFB1"	5463	"ENSG00000184271"
"HGNC:21694"	"POU6F2"	"POU class 6 homeobox 2"	""	"RPF-1"	11281	"ENSG00000106536"
"HGNC:28406"	"PP2D1"	"protein phosphatase 2C like domain containing 1"	"C3orf48"	"FLJ25449"	151649	"ENSG00000183977"
"HGNC:9226"	"PPA1"	"inorganic pyrophosphatase 1"	"PP"	"SID6-8061, Ppase, IOPPP, PP1"	5464	"ENSG00000180817"
"HGNC:28883"	"PPA2"	"inorganic pyrophosphatase 2"	""	"FLJ20459"	27068	"ENSG00000138777"
"HGNC:9227"	"PPAN"	"peter pan homolog"	""	"SSF1, SSF2, SSF, BXDC3"	56342	"ENSG00000130810"
"HGNC:33526"	"PPAN-P2RY11"	"PPAN-P2RY11 readthrough"	""	""	692312	"ENSG00000243207"
"HGNC:9232"	"PPARA"	"peroxisome proliferator activated receptor alpha"	"PPAR"	"hPPAR, NR1C1"	5465	"ENSG00000186951"
"HGNC:9235"	"PPARD"	"peroxisome proliferator activated receptor delta"	""	"NUC1, NUCII, FAAR, NR1C2"	5467	"ENSG00000112033"
"HGNC:9236"	"PPARG"	"peroxisome proliferator activated receptor gamma"	""	"PPARG1, PPARG2, NR1C3, PPARgamma"	5468	"ENSG00000132170"
"HGNC:9237"	"PPARGC1A"	"PPARG coactivator 1 alpha"	"PPARGC1"	"PGC1, PGC1A, PGC-1alpha"	10891	"ENSG00000109819"
"HGNC:30022"	"PPARGC1B"	"PPARG coactivator 1 beta"	""	"PERC, PGC1B"	133522	"ENSG00000155846"
"HGNC:9238"	"PPAT"	"phosphoribosyl pyrophosphate amidotransferase"	""	"GPAT, PRAT"	5471	"ENSG00000128059"
"HGNC:9239"	"PPATP1"	"phosphoribosyl pyrophosphate amidotransferase pseudogene 1"	""	""	100289640	"ENSG00000241293"
"HGNC:48738"	"PPATP2"	"phosphoribosyl pyrophosphate amidotransferase pseudogene 2"	""	""	100421601	"ENSG00000271433"
"HGNC:9240"	"PPBP"	"pro-platelet basic protein"	"THBGB1"	"SCYB7, TGB, NAP-2-L1, LA-PF4, MDGF, LDGF, Beta-TG, CTAP3, CXCL7, PBP, b-TG1, TGB1, CTAPIII, NAP-2"	5473	"ENSG00000163736"
"HGNC:9241"	"PPBPP1"	"pro-platelet basic protein pseudogene 1"	"PPBPL1"	"TGB2"	728045	"ENSG00000250550"
"HGNC:16981"	"PPBPP2"	"pro-platelet basic protein pseudogene 2"	"PPBPL2"	"SPBPBP"	10895	"ENSG00000248848"
"HGNC:28107"	"PPCDC"	"phosphopantothenoylcysteine decarboxylase"	""	"MDS018, FLJ14585"	60490	"ENSG00000138621"
"HGNC:25686"	"PPCS"	"phosphopantothenoylcysteine synthetase"	""	"FLJ11838"	79717	"ENSG00000127125"
"HGNC:16142"	"PPDPF"	"pancreatic progenitor cell differentiation and proliferation factor"	"C20orf149"	"dJ697K14.9, exdpf"	79144	"ENSG00000125534"
"HGNC:31745"	"PPDPFL"	"pancreatic progenitor cell differentiation and proliferation factor like"	"C8orf22"	""	492307	"ENSG00000168333"
"HGNC:9243"	"PPEF1"	"protein phosphatase with EF-hand domain 1"	"PPEF"	"PPP7CA"	5475	"ENSG00000086717"
"HGNC:9244"	"PPEF2"	"protein phosphatase with EF-hand domain 2"	""	"PPP7CB"	5470	"ENSG00000156194"
"HGNC:9245"	"PPFIA1"	"PTPRF interacting protein alpha 1"	""	"LIP.1, LIPRIN"	8500	"ENSG00000131626"
"HGNC:54792"	"PPFIA1P1"	"PPFIA1 pseudogene 1"	""	""	100422710	"ENSG00000271639"
"HGNC:9246"	"PPFIA2"	"PTPRF interacting protein alpha 2"	""	""	8499	"ENSG00000139220"
"HGNC:53397"	"PPFIA2-AS1"	"PPFIA2 antisense RNA 1"	""	""	102724663	"ENSG00000257467"
"HGNC:9247"	"PPFIA3"	"PTPRF interacting protein alpha 3"	""	"KIAA0654, LPNA3, MGC126567, MGC126569"	8541	"ENSG00000177380"
"HGNC:9248"	"PPFIA4"	"PTPRF interacting protein alpha 4"	""	""	8497	"ENSG00000143847"
"HGNC:9249"	"PPFIBP1"	"PPFIA binding protein 1"	""	"L2, hSGT2, hSgt2p, SGT2"	8496	"ENSG00000110841"
"HGNC:9250"	"PPFIBP2"	"PPFIA binding protein 2"	""	"Cclp1"	8495	"ENSG00000166387"
"HGNC:19369"	"PPHLN1"	"periphilin 1"	""	""	51535	"ENSG00000134283"
"HGNC:9253"	"PPIA"	"peptidylprolyl isomerase A"	""	"CYPA"	5478	"ENSG00000196262"
"HGNC:24369"	"PPIAL4A"	"peptidylprolyl isomerase A like 4A"	"PPIAL4, PPIAL4B"	"COAS2"	653505	"ENSG00000263353"
"HGNC:33995"	"PPIAL4C"	"peptidylprolyl isomerase A like 4C"	""	""	653598	"ENSG00000263464"
"HGNC:33998"	"PPIAL4D"	"peptidylprolyl isomerase A like 4D"	""	""	645142	"ENSG00000256374"
"HGNC:33997"	"PPIAL4E"	"peptidylprolyl isomerase A like 4E"	""	""	730262	"ENSG00000271567"
"HGNC:33999"	"PPIAL4F"	"peptidylprolyl isomerase A like 4F"	""	""	728945	"ENSG00000279782"
"HGNC:33996"	"PPIAL4G"	"peptidylprolyl isomerase A like 4G"	""	""	644591	"ENSG00000236334"
"HGNC:53889"	"PPIAL4H"	"peptidylprolyl isomerase A like 4H"	""	""	105371242	"ENSG00000270339"
"HGNC:9254"	"PPIAP1"	"peptidylprolyl isomerase A pseudogene 1"	"PPIAP"	""	100288185	"ENSG00000215351"
